"ID","sMAPE","RMSE","MAE","MASE"
"2736","arima","arima","arima","arima"
"2737","snaive","snaive","snaive","snaive"
"2738","arima","arima","arima","arima"
"2739","nnet","nnet","nnet","nnet"
"2740","naive","naive","naive","naive"
"2741","arima","arima","arima","arima"
"2742","naive","naive","naive","naive"
"2743","arima","arima","arima","arima"
"2744","snaive","snaive","snaive","snaive"
"2745","arima","arima","arima","arima"
"2746","arima","arima","arima","arima"
"2747","nnet","nnet","nnet","nnet"
"2748","nnet","nnet","nnet","nnet"
"2749","snaive","snaive","snaive","snaive"
"2750","ets","ets","ets","ets"
"2751","nnet","nnet","nnet","nnet"
"2752","ets","ets","ets","ets"
"2753","arima","arima","arima","arima"
"2754","naive","naive","naive","naive"
"2755","naive","naive","naive","naive"
"2756","ets","ets","ets","ets"
"2757","nnet","nnet","nnet","nnet"
"2758","nnet","nnet","nnet","nnet"
"2759","naive","naive","naive","naive"
"2760","arima","arima","arima","arima"
"2761","arima","arima","arima","arima"
"2762","arima","arima","arima","arima"
"2763","nnet","nnet","nnet","nnet"
"2764","naive","naive","naive","naive"
"2765","naive","naive","naive","naive"
"2766","ets","ets","ets","ets"
"2767","snaive","snaive","snaive","snaive"
"2768","nnet","nnet","nnet","nnet"
"2769","ets","ets","ets","ets"
"2770","arima","arima","arima","arima"
"2771","arima","arima","arima","arima"
"2772","naive","naive","naive","naive"
"2773","naive","naive","naive","naive"
"2774","arima","arima","arima","arima"
"2775","nnet","nnet","nnet","nnet"
"2776","nnet","nnet","nnet","nnet"
"2777","ets","ets","ets","ets"
"2778","arima","arima","arima","arima"
"2779","ets","ets","ets","ets"
"2780","naive","naive","naive","naive"
"2781","naive","naive","naive","naive"
"2782","nnet","nnet","nnet","nnet"
"2783","snaive","snaive","snaive","snaive"
"2784","nnet","nnet","nnet","nnet"
"2785","ets","ets","ets","ets"
"2786","naive","naive","naive","naive"
"2787","arima","arima","arima","arima"
"2788","nnet","nnet","nnet","nnet"
"2789","naive","ets","naive","naive"
"2790","ets","ets","ets","ets"
"2791","ets","ets","ets","ets"
"2792","snaive","snaive","snaive","snaive"
"2793","ets","ets","ets","ets"
"2794","nnet","nnet","nnet","nnet"
"2795","naive","naive","naive","naive"
"2796","nnet","nnet","nnet","nnet"
"2797","arima","arima","arima","arima"
"2798","arima","arima","nnet","nnet"
"2799","ets","ets","ets","ets"
"2800","naive","ets","naive","naive"
"2801","naive","naive","naive","naive"
"2802","arima","arima","arima","arima"
"2803","nnet","nnet","nnet","nnet"
"2804","arima","arima","arima","arima"
"2805","nnet","nnet","nnet","nnet"
"2806","nnet","nnet","nnet","nnet"
"2807","arima","arima","arima","arima"
"2808","arima","arima","arima","arima"
"2809","ets","arima","naive","naive"
"2810","naive","arima","naive","naive"
"2811","snaive","naive","snaive","snaive"
"2812","arima","arima","arima","arima"
"2813","ets","ets","ets","ets"
"2814","naive","naive","naive","naive"
"2815","snaive","snaive","snaive","snaive"
"2816","nnet","ets","nnet","nnet"
"2817","arima","arima","arima","arima"
"2818","snaive","snaive","snaive","snaive"
"2819","arima","arima","arima","arima"
"2820","naive","naive","naive","naive"
"2821","arima","ets","arima","arima"
"2822","nnet","nnet","nnet","nnet"
"2823","nnet","nnet","nnet","nnet"
"2824","arima","arima","arima","arima"
"2825","arima","arima","arima","arima"
"2826","ets","ets","ets","ets"
"2827","nnet","nnet","nnet","nnet"
"2828","nnet","nnet","nnet","nnet"
"2829","snaive","nnet","snaive","snaive"
"2830","nnet","nnet","nnet","nnet"
"2831","naive","naive","naive","naive"
"2832","nnet","nnet","nnet","nnet"
"2833","naive","naive","naive","naive"
"2834","nnet","naive","nnet","nnet"
"2835","naive","naive","naive","naive"
"2836","naive","naive","naive","naive"
"2837","nnet","arima","nnet","nnet"
"2838","ets","ets","ets","ets"
"2839","snaive","snaive","snaive","snaive"
"2840","nnet","nnet","nnet","nnet"
"2841","naive","nnet","naive","naive"
"2842","arima","ets","arima","arima"
"2843","nnet","nnet","nnet","nnet"
"2844","arima","arima","arima","arima"
"2845","snaive","snaive","snaive","snaive"
"2846","arima","arima","arima","arima"
"2847","naive","naive","naive","naive"
"2848","snaive","ets","snaive","snaive"
"2849","naive","naive","naive","naive"
"2850","nnet","nnet","nnet","nnet"
"2851","arima","arima","arima","arima"
"2852","arima","arima","arima","arima"
"2853","nnet","ets","nnet","nnet"
"2854","naive","naive","naive","naive"
"2855","ets","ets","ets","ets"
"2856","arima","arima","arima","arima"
"2857","ets","ets","ets","ets"
"2858","snaive","snaive","snaive","snaive"
"2859","nnet","nnet","nnet","nnet"
"2860","ets","ets","ets","ets"
"2861","ets","ets","ets","ets"
"2862","arima","arima","arima","arima"
"2863","arima","arima","arima","arima"
"2864","arima","arima","arima","arima"
"2865","ets","ets","ets","ets"
"2866","ets","ets","ets","ets"
"2867","ets","ets","ets","ets"
"2868","naive","naive","naive","naive"
"2869","ets","ets","ets","ets"
"2870","ets","ets","ets","ets"
"2871","nnet","nnet","nnet","nnet"
"2872","snaive","snaive","snaive","snaive"
"2873","naive","naive","naive","naive"
"2874","naive","naive","naive","naive"
"2875","arima","ets","arima","arima"
"2876","naive","naive","naive","naive"
"2877","snaive","arima","snaive","snaive"
"2878","arima","arima","arima","arima"
"2879","arima","arima","arima","arima"
"2880","naive","ets","naive","naive"
"2881","ets","ets","ets","ets"
"2882","naive","snaive","naive","naive"
"2883","arima","arima","arima","arima"
"2884","arima","arima","arima","arima"
"2885","ets","ets","ets","ets"
"2886","ets","ets","ets","ets"
"2887","nnet","nnet","nnet","nnet"
"2888","ets","ets","ets","ets"
"2889","arima","arima","arima","arima"
"2890","naive","naive","naive","naive"
"2891","snaive","snaive","snaive","snaive"
"2892","ets","ets","ets","ets"
"2893","snaive","arima","arima","arima"
"2894","ets","ets","ets","ets"
"2895","nnet","naive","nnet","nnet"
"2896","arima","arima","arima","arima"
"2897","ets","ets","ets","ets"
"2898","snaive","snaive","snaive","snaive"
"2899","nnet","nnet","nnet","nnet"
"2900","nnet","nnet","nnet","nnet"
"2901","nnet","nnet","nnet","nnet"
"2902","nnet","nnet","nnet","nnet"
"2903","nnet","nnet","nnet","nnet"
"2904","arima","arima","arima","arima"
"2905","ets","ets","ets","ets"
"2906","naive","ets","naive","naive"
"2907","arima","arima","arima","arima"
"2908","naive","ets","naive","naive"
"2909","naive","ets","naive","naive"
"2910","ets","ets","ets","ets"
"2911","arima","arima","arima","arima"
"2912","ets","ets","ets","ets"
"2913","arima","arima","arima","arima"
"2914","arima","arima","arima","arima"
"2915","naive","naive","naive","naive"
"2916","nnet","arima","nnet","nnet"
"2917","nnet","nnet","nnet","nnet"
"2918","arima","arima","arima","arima"
"2919","nnet","nnet","nnet","nnet"
"2920","arima","arima","arima","arima"
"2921","arima","arima","arima","arima"
"2922","arima","arima","arima","arima"
"2923","arima","arima","arima","arima"
"2924","snaive","snaive","snaive","snaive"
"2925","ets","ets","ets","ets"
"2926","arima","arima","arima","arima"
"2927","ets","ets","ets","ets"
"2928","naive","naive","naive","naive"
"2929","nnet","nnet","nnet","nnet"
"2930","nnet","nnet","nnet","nnet"
"2931","nnet","nnet","nnet","nnet"
"2932","arima","arima","arima","arima"
"2933","arima","arima","arima","arima"
"2934","nnet","nnet","nnet","nnet"
"2935","arima","arima","arima","arima"
"2936","arima","arima","arima","arima"
"2937","arima","arima","arima","arima"
"2938","nnet","arima","nnet","nnet"
"2939","nnet","nnet","nnet","nnet"
"2940","nnet","arima","nnet","nnet"
"2941","arima","arima","arima","arima"
"2942","ets","ets","ets","ets"
"2943","nnet","ets","nnet","nnet"
"2944","nnet","nnet","nnet","nnet"
"2945","nnet","nnet","nnet","nnet"
"2946","arima","arima","arima","arima"
"2947","arima","nnet","arima","arima"
"2948","arima","nnet","arima","arima"
"2949","arima","nnet","arima","arima"
"2950","ets","ets","ets","ets"
"2951","ets","ets","ets","ets"
"2952","ets","ets","ets","ets"
"2953","ets","ets","ets","ets"
"2954","arima","arima","arima","arima"
"2955","naive","snaive","naive","naive"
"2956","naive","snaive","naive","naive"
"2957","arima","arima","arima","arima"
"2958","arima","arima","arima","arima"
"2959","snaive","snaive","snaive","snaive"
"2960","naive","naive","naive","naive"
"2961","naive","naive","naive","naive"
"2962","naive","naive","naive","naive"
"2963","ets","ets","ets","ets"
"2964","nnet","naive","nnet","nnet"
"2965","ets","ets","ets","ets"
"2966","ets","naive","naive","naive"
"2967","naive","naive","naive","naive"
"2968","nnet","naive","nnet","nnet"
"2969","naive","naive","naive","naive"
"2970","naive","naive","naive","naive"
"2971","snaive","snaive","snaive","snaive"
"2972","snaive","snaive","snaive","snaive"
"2973","naive","naive","naive","naive"
"2974","nnet","nnet","nnet","nnet"
"2975","naive","naive","naive","naive"
"2976","naive","naive","naive","naive"
"2977","nnet","nnet","nnet","nnet"
"2978","snaive","snaive","snaive","snaive"
"2979","snaive","snaive","snaive","snaive"
"2980","nnet","nnet","nnet","nnet"
"2981","arima","arima","arima","arima"
"2982","naive","naive","naive","naive"
"2983","arima","arima","arima","arima"
"2984","arima","arima","arima","arima"
"2985","nnet","nnet","nnet","nnet"
"2986","naive","ets","naive","naive"
"2987","nnet","nnet","nnet","nnet"
"2988","ets","ets","ets","ets"
"2989","ets","ets","ets","ets"
"2990","ets","ets","ets","ets"
"2991","nnet","nnet","nnet","nnet"
"2992","nnet","nnet","nnet","nnet"
"2993","naive","naive","naive","naive"
"2994","naive","naive","naive","naive"
"2995","naive","naive","naive","naive"
"2996","naive","naive","naive","naive"
"2997","ets","ets","ets","ets"
"2998","ets","ets","ets","ets"
"2999","arima","arima","arima","arima"
"3000","ets","arima","ets","ets"
"3001","ets","nnet","ets","ets"
"3002","ets","nnet","ets","ets"
"3003","naive","naive","naive","naive"
"3004","ets","ets","ets","ets"
"3005","nnet","naive","nnet","nnet"
"3006","nnet","nnet","nnet","nnet"
"3007","ets","ets","ets","ets"
"3008","nnet","nnet","nnet","nnet"
"3009","arima","arima","arima","arima"
"3010","nnet","nnet","nnet","nnet"
"3011","ets","ets","ets","ets"
"3012","arima","arima","arima","arima"
"3013","naive","ets","naive","naive"
"3014","naive","ets","naive","naive"
"3015","naive","naive","naive","naive"
"3016","arima","arima","arima","arima"
"3017","ets","ets","ets","ets"
"3018","ets","ets","ets","ets"
"3019","naive","naive","naive","naive"
"3020","ets","ets","ets","ets"
"3021","naive","ets","naive","naive"
"3022","naive","ets","naive","naive"
"3023","naive","ets","naive","naive"
"3024","naive","naive","naive","naive"
"3025","arima","arima","arima","arima"
"3026","nnet","nnet","nnet","nnet"
"3027","nnet","nnet","nnet","nnet"
"3028","nnet","nnet","nnet","nnet"
"3029","ets","ets","ets","ets"
"3030","ets","ets","ets","ets"
"3031","ets","ets","ets","ets"
"3032","nnet","nnet","nnet","nnet"
"3033","ets","ets","ets","ets"
"3034","ets","ets","ets","ets"
"3035","arima","arima","arima","arima"
"3036","arima","arima","arima","arima"
"3037","arima","arima","arima","arima"
"3038","arima","arima","arima","arima"
"3039","arima","arima","arima","arima"
"3040","arima","arima","arima","arima"
"3041","arima","arima","arima","arima"
"3042","ets","ets","ets","ets"
"3043","nnet","nnet","nnet","nnet"
"3044","ets","ets","ets","ets"
"3045","nnet","nnet","nnet","nnet"
"3046","ets","ets","ets","ets"
"3047","naive","nnet","naive","naive"
"3048","ets","ets","ets","ets"
"3049","naive","naive","naive","naive"
"3050","snaive","ets","snaive","snaive"
"3051","ets","ets","ets","ets"
"3052","ets","ets","ets","ets"
"3053","snaive","ets","snaive","snaive"
"3054","ets","ets","ets","ets"
"3055","ets","ets","ets","ets"
"3056","ets","ets","ets","ets"
"3057","naive","naive","naive","naive"
"3058","ets","ets","ets","ets"
"3059","arima","arima","arima","arima"
"3060","ets","ets","ets","ets"
"3061","arima","arima","arima","arima"
"3062","naive","naive","naive","naive"
"3063","arima","arima","arima","arima"
"3064","nnet","nnet","nnet","nnet"
"3065","ets","ets","ets","ets"
"3066","ets","nnet","ets","ets"
"3067","nnet","nnet","nnet","nnet"
"3068","nnet","nnet","nnet","nnet"
"3069","ets","ets","ets","ets"
"3070","arima","arima","arima","arima"
"3071","ets","ets","ets","ets"
"3072","ets","ets","ets","ets"
"3073","arima","arima","arima","arima"
"3074","arima","arima","arima","arima"
"3075","arima","arima","arima","arima"
"3076","ets","ets","ets","ets"
"3077","nnet","nnet","nnet","nnet"
"3078","arima","arima","arima","arima"
"3079","ets","naive","ets","ets"
"3080","arima","arima","ets","ets"
"3081","arima","arima","arima","arima"
"3082","snaive","snaive","snaive","snaive"
"3083","arima","arima","arima","arima"
"3084","arima","arima","arima","arima"
"3085","ets","ets","ets","ets"
"3086","arima","arima","arima","arima"
"3087","ets","arima","ets","ets"
"3088","arima","arima","ets","ets"
"3089","naive","naive","naive","naive"
"3090","arima","arima","arima","arima"
"3091","ets","ets","ets","ets"
"3092","ets","ets","ets","ets"
"3093","nnet","ets","nnet","nnet"
"3094","nnet","naive","nnet","nnet"
"3095","naive","naive","naive","naive"
"3096","naive","naive","naive","naive"
"3097","nnet","nnet","nnet","nnet"
"3098","arima","arima","arima","arima"
"3099","nnet","nnet","nnet","nnet"
"3100","arima","arima","arima","arima"
"3101","arima","arima","arima","arima"
"3102","ets","ets","ets","ets"
"3103","arima","ets","ets","ets"
"3104","arima","arima","arima","arima"
"3105","arima","arima","arima","arima"
"3106","ets","ets","ets","ets"
"3107","ets","ets","ets","ets"
"3108","ets","ets","ets","ets"
"3109","ets","ets","ets","ets"
"3110","ets","ets","ets","ets"
"3111","ets","ets","ets","ets"
"3112","ets","ets","ets","ets"
"3113","ets","ets","ets","ets"
"3114","ets","ets","ets","ets"
"3115","arima","arima","arima","arima"
"3116","ets","ets","ets","ets"
"3117","arima","ets","arima","arima"
"3118","ets","ets","ets","ets"
"3119","ets","ets","ets","ets"
"3120","ets","ets","ets","ets"
"3121","naive","naive","naive","naive"
"3122","ets","ets","ets","ets"
"3123","naive","ets","naive","naive"
"3124","naive","naive","naive","naive"
"3125","arima","arima","arima","arima"
"3126","naive","ets","naive","naive"
"3127","arima","arima","arima","arima"
"3128","arima","arima","arima","arima"
"3129","arima","arima","arima","arima"
"3130","ets","ets","ets","ets"
"3131","nnet","nnet","nnet","nnet"
"3132","ets","ets","ets","ets"
"3133","ets","ets","ets","ets"
"3134","ets","ets","ets","ets"
"3135","nnet","nnet","nnet","nnet"
"3136","nnet","nnet","nnet","nnet"
"3137","arima","arima","arima","arima"
"3138","naive","naive","naive","naive"
"3139","arima","nnet","arima","arima"
"3140","arima","arima","arima","arima"
"3141","arima","arima","arima","arima"
"3142","arima","nnet","arima","arima"
"3143","nnet","nnet","nnet","nnet"
"3144","ets","ets","ets","ets"
"3145","arima","arima","arima","arima"
"3146","arima","arima","arima","arima"
"3147","nnet","nnet","nnet","nnet"
"3148","ets","ets","ets","ets"
"3149","nnet","nnet","nnet","nnet"
"3150","arima","arima","arima","arima"
"3151","snaive","snaive","snaive","snaive"
"3152","arima","arima","arima","arima"
"3153","ets","ets","ets","ets"
"3154","arima","ets","arima","arima"
"3155","ets","ets","ets","ets"
"3156","snaive","arima","snaive","snaive"
"3157","snaive","arima","snaive","snaive"
"3158","arima","ets","arima","arima"
"3159","arima","arima","arima","arima"
"3160","ets","ets","ets","ets"
"3161","arima","arima","arima","arima"
"3162","ets","ets","ets","ets"
"3163","arima","arima","arima","arima"
"3164","ets","ets","ets","ets"
"3165","ets","ets","ets","ets"
"3166","nnet","ets","nnet","nnet"
"3167","arima","arima","arima","arima"
"3168","nnet","nnet","nnet","nnet"
"3169","arima","arima","arima","arima"
"3170","ets","snaive","ets","ets"
"3171","ets","ets","ets","ets"
"3172","nnet","arima","nnet","nnet"
"3173","snaive","naive","snaive","snaive"
"3174","arima","arima","arima","arima"
"3175","nnet","nnet","nnet","nnet"
"3176","ets","ets","ets","ets"
"3177","ets","ets","ets","ets"
"3178","ets","ets","ets","ets"
"3179","ets","ets","ets","ets"
"3180","ets","ets","ets","ets"
"3181","snaive","snaive","snaive","snaive"
"3182","snaive","snaive","snaive","snaive"
"3183","ets","ets","ets","ets"
"3184","ets","ets","ets","ets"
"3185","ets","ets","ets","ets"
"3186","arima","snaive","snaive","snaive"
"3187","naive","naive","naive","naive"
"3188","snaive","snaive","snaive","snaive"
"3189","arima","snaive","arima","arima"
"3190","snaive","snaive","snaive","snaive"
"3191","naive","naive","naive","naive"
"3192","naive","naive","naive","naive"
"3193","nnet","nnet","nnet","nnet"
"3194","ets","ets","ets","ets"
"3195","arima","arima","arima","arima"
"3196","naive","naive","naive","naive"
"3197","arima","arima","arima","arima"
"3198","ets","ets","ets","ets"
"3199","ets","ets","ets","ets"
"3200","ets","ets","ets","ets"
"3201","ets","arima","ets","ets"
"3202","ets","ets","ets","ets"
"3203","nnet","nnet","nnet","nnet"
"3204","ets","ets","ets","ets"
"3205","snaive","snaive","snaive","snaive"
"3206","nnet","nnet","nnet","nnet"
"3207","arima","arima","arima","arima"
"3208","ets","ets","ets","ets"
"3209","ets","ets","ets","ets"
"3210","arima","arima","arima","arima"
"3211","arima","arima","arima","arima"
"3212","nnet","nnet","nnet","nnet"
"3213","naive","ets","naive","naive"
"3214","arima","arima","arima","arima"
"3215","naive","naive","naive","naive"
"3216","ets","ets","ets","ets"
"3217","arima","arima","arima","arima"
"3218","ets","ets","ets","ets"
"3219","snaive","arima","snaive","snaive"
"3220","ets","ets","ets","ets"
"3221","snaive","snaive","snaive","snaive"
"3222","nnet","nnet","nnet","nnet"
"3223","naive","naive","naive","naive"
"3224","nnet","nnet","nnet","nnet"
"3225","ets","ets","ets","ets"
"3226","ets","ets","ets","ets"
"3227","naive","naive","naive","naive"
"3228","nnet","arima","nnet","nnet"
"3229","snaive","ets","snaive","snaive"
"3230","arima","arima","arima","arima"
"3231","snaive","snaive","snaive","snaive"
"3232","naive","naive","naive","naive"
"3233","snaive","snaive","snaive","snaive"
"3234","ets","arima","ets","ets"
"3235","snaive","snaive","snaive","snaive"
"3236","snaive","snaive","snaive","snaive"
"3237","arima","arima","arima","arima"
"3238","arima","arima","arima","arima"
"3239","snaive","snaive","snaive","snaive"
"3240","ets","ets","ets","ets"
"3241","nnet","nnet","nnet","nnet"
"3242","ets","ets","ets","ets"
"3243","ets","snaive","ets","ets"
"3244","arima","arima","arima","arima"
"3245","naive","naive","naive","naive"
"3246","nnet","arima","nnet","nnet"
"3247","ets","ets","ets","ets"
"3248","arima","arima","arima","arima"
"3249","snaive","nnet","snaive","snaive"
"3250","snaive","snaive","snaive","snaive"
"3251","ets","ets","ets","ets"
"3252","ets","ets","ets","ets"
"3253","arima","snaive","arima","arima"
"3254","ets","ets","ets","ets"
"3255","ets","ets","ets","ets"
"3256","ets","ets","ets","ets"
"3257","nnet","nnet","nnet","nnet"
"3258","naive","naive","naive","naive"
"3259","arima","ets","arima","arima"
"3260","ets","ets","ets","ets"
"3261","arima","arima","arima","arima"
"3262","naive","naive","naive","naive"
"3263","ets","ets","ets","ets"
"3264","arima","arima","arima","arima"
"3265","nnet","arima","nnet","nnet"
"3266","naive","naive","naive","naive"
"3267","arima","arima","arima","arima"
"3268","ets","ets","ets","ets"
"3269","arima","arima","arima","arima"
"3270","arima","arima","arima","arima"
"3271","arima","arima","arima","arima"
"3272","arima","ets","arima","arima"
"3273","ets","ets","ets","ets"
"3274","ets","ets","ets","ets"
"3275","arima","arima","arima","arima"
"3276","arima","naive","arima","arima"
"3277","naive","naive","naive","naive"
"3278","ets","ets","ets","ets"
"3279","naive","naive","naive","naive"
"3280","nnet","nnet","nnet","nnet"
"3281","ets","ets","ets","ets"
"3282","ets","ets","ets","ets"
"3283","arima","arima","arima","arima"
"3284","snaive","snaive","snaive","snaive"
"3285","snaive","arima","snaive","snaive"
"3286","arima","arima","arima","arima"
"3287","nnet","nnet","nnet","nnet"
"3288","arima","arima","arima","arima"
"3289","nnet","nnet","nnet","nnet"
"3290","arima","arima","arima","arima"
"3291","ets","ets","ets","ets"
"3292","arima","arima","arima","arima"
"3293","arima","arima","arima","arima"
"3294","nnet","nnet","nnet","nnet"
"3295","arima","arima","arima","arima"
"3296","arima","arima","arima","arima"
"3297","naive","naive","naive","naive"
"3298","nnet","nnet","nnet","nnet"
"3299","arima","arima","arima","arima"
"3300","nnet","nnet","nnet","nnet"
"3301","ets","ets","ets","ets"
"3302","arima","arima","arima","arima"
"3303","ets","ets","ets","ets"
"3304","arima","arima","arima","arima"
"3305","arima","arima","arima","arima"
"3306","naive","naive","naive","naive"
"3307","arima","arima","arima","arima"
"3308","snaive","snaive","snaive","snaive"
"3309","ets","ets","ets","ets"
"3310","arima","arima","arima","arima"
"3311","ets","ets","ets","ets"
"3312","snaive","snaive","snaive","snaive"
"3313","nnet","naive","nnet","nnet"
"3314","nnet","nnet","nnet","nnet"
"3315","arima","arima","arima","arima"
"3316","ets","ets","ets","ets"
"3317","arima","arima","arima","arima"
"3318","naive","naive","naive","naive"
"3319","arima","arima","arima","arima"
"3320","ets","ets","ets","ets"
"3321","arima","arima","arima","arima"
"3322","arima","arima","arima","arima"
"3323","ets","ets","ets","ets"
"3324","nnet","nnet","nnet","nnet"
"3325","ets","ets","ets","ets"
"3326","ets","ets","ets","ets"
"3327","naive","naive","naive","naive"
"3328","snaive","arima","snaive","snaive"
"3329","naive","naive","naive","naive"
"3330","arima","arima","arima","arima"
"3331","ets","ets","ets","ets"
"3332","ets","ets","ets","ets"
"3333","nnet","nnet","nnet","nnet"
"3334","ets","ets","ets","ets"
"3335","snaive","snaive","snaive","snaive"
"3336","nnet","ets","nnet","nnet"
"3337","ets","ets","ets","ets"
"3338","nnet","nnet","nnet","nnet"
"3339","arima","arima","arima","arima"
"3340","snaive","snaive","snaive","snaive"
"3341","snaive","snaive","snaive","snaive"
"3342","ets","ets","ets","ets"
"3343","ets","ets","ets","ets"
"3344","naive","naive","naive","naive"
"3345","arima","naive","arima","arima"
"3346","nnet","nnet","nnet","nnet"
"3347","ets","ets","ets","ets"
"3348","arima","ets","arima","arima"
"3349","nnet","nnet","nnet","nnet"
"3350","arima","arima","arima","arima"
"3351","snaive","snaive","snaive","snaive"
"3352","ets","ets","ets","ets"
"3353","ets","ets","ets","ets"
"3354","nnet","arima","nnet","nnet"
"3355","nnet","nnet","nnet","nnet"
"3356","ets","ets","ets","ets"
"3357","naive","naive","naive","naive"
"3358","nnet","nnet","nnet","nnet"
"3359","ets","ets","ets","ets"
"3360","ets","ets","ets","ets"
"3361","nnet","nnet","nnet","nnet"
"3362","arima","arima","arima","arima"
"3363","ets","ets","ets","ets"
"3364","ets","ets","ets","ets"
"3365","ets","ets","ets","ets"
"3366","ets","ets","ets","ets"
"3367","naive","nnet","naive","naive"
"3368","arima","arima","arima","arima"
"3369","naive","naive","naive","naive"
"3370","ets","ets","ets","ets"
"3371","ets","ets","ets","ets"
"3372","nnet","nnet","nnet","nnet"
"3373","snaive","snaive","snaive","snaive"
"3374","arima","naive","arima","arima"
"3375","ets","ets","ets","ets"
"3376","naive","naive","naive","naive"
"3377","naive","naive","naive","naive"
"3378","ets","ets","ets","ets"
"3379","ets","ets","ets","ets"
"3380","naive","naive","naive","naive"
"3381","ets","ets","ets","ets"
"3382","arima","arima","arima","arima"
"3383","arima","arima","arima","arima"
"3384","naive","naive","naive","naive"
"3385","snaive","snaive","snaive","snaive"
"3386","naive","naive","naive","naive"
"3387","ets","ets","ets","ets"
"3388","ets","ets","ets","ets"
"3389","arima","arima","arima","arima"
"3390","snaive","snaive","snaive","snaive"
"3391","arima","arima","arima","arima"
"3392","snaive","nnet","snaive","snaive"
"3393","nnet","nnet","nnet","nnet"
"3394","arima","arima","arima","arima"
"3395","arima","arima","arima","arima"
"3396","ets","ets","ets","ets"
"3397","ets","ets","ets","ets"
"3398","ets","ets","ets","ets"
"3399","arima","arima","arima","arima"
"3400","ets","arima","arima","arima"
"3401","arima","arima","arima","arima"
"3402","snaive","arima","snaive","snaive"
"3403","nnet","nnet","nnet","nnet"
"3404","snaive","arima","snaive","snaive"
"3405","arima","arima","arima","arima"
"3406","snaive","snaive","snaive","snaive"
"3407","nnet","nnet","nnet","nnet"
"3408","arima","arima","arima","arima"
"3409","arima","arima","arima","arima"
"3410","nnet","nnet","nnet","nnet"
"3411","arima","arima","arima","arima"
"3412","ets","ets","ets","ets"
"3413","arima","arima","arima","arima"
"3414","arima","arima","arima","arima"
"3415","ets","ets","ets","ets"
"3416","snaive","snaive","snaive","snaive"
"3417","arima","arima","arima","arima"
"3418","naive","naive","naive","naive"
"3419","arima","arima","arima","arima"
"3420","arima","arima","arima","arima"
"3421","ets","ets","ets","ets"
"3422","naive","naive","naive","naive"
"3423","ets","nnet","ets","ets"
"3424","ets","ets","ets","ets"
"3425","arima","arima","arima","arima"
"3426","nnet","nnet","nnet","nnet"
"3427","arima","arima","arima","arima"
"3428","ets","arima","ets","ets"
"3429","arima","naive","arima","arima"
"3430","arima","ets","arima","arima"
"3431","snaive","snaive","snaive","snaive"
"3432","arima","arima","arima","arima"
"3433","arima","arima","arima","arima"
"3434","ets","ets","ets","ets"
"3435","nnet","nnet","nnet","nnet"
"3436","ets","naive","ets","ets"
"3437","nnet","nnet","nnet","nnet"
"3438","arima","ets","arima","arima"
"3439","ets","nnet","nnet","nnet"
"3440","nnet","nnet","nnet","nnet"
"3441","arima","ets","arima","arima"
"3442","arima","arima","arima","arima"
"3443","arima","arima","arima","arima"
"3444","arima","arima","arima","arima"
"3445","naive","ets","naive","naive"
"3446","snaive","snaive","snaive","snaive"
"3447","snaive","snaive","snaive","snaive"
"3448","arima","arima","arima","arima"
"3449","nnet","nnet","nnet","nnet"
"3450","arima","ets","arima","arima"
"3451","arima","arima","arima","arima"
"3452","ets","ets","ets","ets"
"3453","ets","ets","ets","ets"
"3454","naive","arima","naive","naive"
"3455","ets","ets","ets","ets"
"3456","naive","naive","naive","naive"
"3457","arima","arima","arima","arima"
"3458","nnet","nnet","nnet","nnet"
"3459","naive","naive","naive","naive"
"3460","arima","arima","arima","arima"
"3461","naive","naive","naive","naive"
"3462","arima","arima","arima","arima"
"3463","snaive","arima","snaive","snaive"
"3464","ets","arima","ets","ets"
"3465","naive","naive","naive","naive"
"3466","ets","ets","ets","ets"
"3467","nnet","ets","nnet","nnet"
"3468","ets","ets","ets","ets"
"3469","ets","ets","ets","ets"
"3470","nnet","nnet","nnet","nnet"
"3471","nnet","nnet","nnet","nnet"
"3472","ets","arima","ets","ets"
"3473","ets","ets","ets","ets"
"3474","ets","ets","ets","ets"
"3475","nnet","nnet","nnet","nnet"
"3476","ets","ets","ets","ets"
"3477","ets","ets","ets","ets"
"3478","ets","ets","ets","ets"
"3479","nnet","nnet","nnet","nnet"
"3480","arima","snaive","arima","arima"
"3481","arima","arima","arima","arima"
"3482","nnet","nnet","nnet","nnet"
"3483","ets","ets","ets","ets"
"3484","ets","ets","ets","ets"
"3485","ets","ets","ets","ets"
"3486","arima","ets","arima","arima"
"3487","nnet","nnet","nnet","nnet"
"3488","ets","ets","ets","ets"
"3489","snaive","nnet","snaive","snaive"
"3490","nnet","nnet","nnet","nnet"
"3491","arima","arima","naive","naive"
"3492","ets","ets","ets","ets"
"3493","arima","arima","arima","arima"
"3494","naive","arima","naive","naive"
"3495","arima","arima","arima","arima"
"3496","ets","ets","ets","ets"
"3497","arima","ets","arima","arima"
"3498","ets","ets","ets","ets"
"3499","arima","arima","arima","arima"
"3500","nnet","nnet","nnet","nnet"
"3501","arima","arima","arima","arima"
"3502","arima","arima","arima","arima"
"3503","nnet","nnet","nnet","nnet"
"3504","arima","arima","arima","arima"
"3505","ets","ets","ets","ets"
"3506","arima","arima","arima","arima"
"3507","ets","ets","ets","ets"
"3508","ets","ets","ets","ets"
